,County,Alaska Boroughs_x,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %,Area,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count,Vermont Counties FIPS,Wyoming Counties FIPS,Uninsured,FIPS,County FIPS,New Case Rate,Death Rate
0,Aleutians East,2013.0,72258,4.5,14.6,2.1,21.2,24.7,44.1,10.5,89.5,Alaska,138.9,23,16946,Data not presented,Data not presented,,,,,,,
1,Aleutians West,2016.0,90708,3.8,24.5,3.5,47.5,45.3,10.5,9.7,90.3,Alaska,286.2,51,28538,114.2,19,,,,,,,
2,Anchorage,2020.0,88871,5.4,60.3,5.4,12.6,11.0,7.2,9.5,90.5,Alaska,444,6278,1460452,146.1,1878,,,,,,,
3,Bethel,2050.0,57460,18.1,9.6,0.9,1.6,2.3,84.5,2.1,97.9,Alaska,367.5,242,91317,195,104,,,,,,,
4,Bristol Bay,2060.0,81563,2.4,44.8,0.6,5.7,7.9,33.2,12.8,87.2,Alaska,337.2,19,4284,Data not presented,Data not presented,,,,,,,
5,Denali,2068.0,78750,2.6,79.9,1.2,2.2,8.8,2.5,0.6,99.4,Alaska,385.6,42,10424,Data not presented,Data not presented,,,,,,,
6,Dillingham,2070.0,62115,12.6,16.2,1.3,0.3,2.5,73.4,3.3,96.7,Alaska,418,92,24670,201.4,41,,,,,,,
7,Fairbanks North Star,2090.0,78321,6.3,73.0,4.6,3.9,5.1,7.6,8.3,91.7,Alaska,402.7,1782,492276,127.3,505,,,,,,,
8,Haines,2100.0,63355,3.7,86.2,no data/suppressed,1.9,6.2,6.7,6.6,93.4,Alaska,273.7,54,12734,Data not presented,Data not presented,,,,,,,
9,Hoonah-Angoon,2105.0,55990,15.0,48.8,1.9,1.3,2.5,34.9,9.9,90.1,Alaska,422.8,78,10674,127.4,23,,,,,,,
10,Juneau,2110.0,90126,5.1,64.7,1,8.0,8.9,10.1,7.0,93.0,Alaska,399.1,717,160493,135.6,219,,,,,,,
11,Kenai Peninsula,2122.0,70609,8.2,80.7,0.7,2.2,3.2,7.5,4.4,95.6,Alaska,441.4,1696,294046,151.8,551,,,,,,,
12,Ketchikan Gateway,2130.0,77820,4.7,64.4,0.8,8.7,8.7,14.8,5.7,94.3,Alaska,446.2,376,69167,140.9,114,,,,,,,
13,Kodiak Island,2150.0,83765,5.8,52.4,1.1,22.2,18.9,11.0,8.9,91.1,Alaska,408.2,263,66917,125.6,72,,,,,,,
14,Kusilvak,2158.0,37975,24.7,3.3,no data/suppressed,0.2,0.3,93.2,1.0,99.0,Alaska,401.3,91,41488,Data not presented,Data not presented,,,,,,,
15,Lake and Peninsula,2164.0,49688,15.8,24.3,2.2,3.0,5.6,64.1,0.1,99.9,Alaska,515.4,37,7863,Data not presented,Data not presented,,,,,,,
16,Matanuska-Susitna,2170.0,79300,7.4,80.6,1.3,2.0,3.6,6.2,5.4,94.6,Alaska,420.4,2287,536800,159.1,761,,,,,,,
17,Nome,2180.0,63977,18.6,14.6,0.9,1.3,1.7,77.0,2.0,98.0,Alaska,506.4,172,50043,246.1,75,,,,,,,
18,North Slope,2185.0,83992,9.2,28.6,0.8,7.3,7.3,55.3,4.0,96.0,Alaska,366.8,118,46875,221.1,58,,,,,,,
19,Northwest Arctic,2188.0,68654,15.7,11.2,1.1,1.4,1.7,82.1,2.5,97.5,Alaska,414.2,115,38546,155.7,40,,,,,,,
20,Petersburg,2195.0,71696,4.7,64.6,1,16.8,16.4,6.6,5.7,94.3,Alaska,384,89,16392,146.4,33,,,,,,,
21,Prince of Wales-Hyder,2198.0,55857,9.6,46.2,0.3,1.5,2.5,40.0,3.7,96.3,Alaska,365.3,157,31692,180.1,67,,,,,,,
22,Sitka,2220.0,82083,5.4,63.5,0.6,7.3,9.8,10.3,7.1,92.9,Alaska,357.8,188,42845,114.5,60,,,,,,,
23,Skagway,2230.0,75000,12.9,76.5,2.9,2.6,8.7,4.4,3.8,96.2,Alaska,330.1,21,5849,Data not presented,Data not presented,,,,,,,
24,Southeast Fairbanks,2240.0,68634,10.3,74.7,1.1,3.2,7.4,13.8,7.1,92.9,Alaska,475.9,182,34553,154,55,,,,,,,
25,Valdez-Cordova,2261.0,83929,4.6,68.8,1.2,5.5,6.8,11.7,5.7,94.3,Alaska,373.9,197,46944,133.5,65,,,,,,,
26,Wrangell,2275.0,54891,5.7,59.0,0.1,4.0,4.7,22.9,5.0,95.0,Alaska,349.6,70,12553,155.6,29,,,,,,,
27,Yakutat,2282.0,72083,1.6,31.3,3.2,14.6,11.6,31.3,11.2,88.8,Alaska,Data not presented,Data not presented,Data not presented,Data not presented,Data not presented,,,,,,,
28,Yukon-Koyukuk,2290.0,43405,12.8,22.5,0.1,0.8,1.3,69.7,2.7,97.3,Alaska,569,172,26524,216.2,67,,,,,,,
0,Grand Isle ,,85154,4.1,92.8,1.1,0.5,3.4,1.4,2.0,98.0,Vermont,532.1,279,35374,174.5,88,50013.0,,,,,,
1,Chittenden ,,81957,3.8,88.8,2.6,4.0,8.2,0.1,2.5,97.5,Vermont,439.9,4165,817072,143.4,1380,50007.0,,,,,,
2,Addison ,,77978,4.1,92.7,1.2,2.1,4.9,0.3,2.5,97.5,Vermont,427.8,1114,184735,134.0,360,50001.0,,,,,,
3,Washington ,,70128,3.1,94.7,0.8,0.9,2.9,0.1,2.0,98.0,Vermont,445.4,1823,291679,152.2,630,50023.0,,,,,,
4,Franklin ,,68476,3.6,93.9,0.4,0.8,2.6,0.8,1.7,98.3,Vermont,460.5,1423,246373,173.3,528,50011.0,,,,,,
